

lambda(m), TE3
1.58566e-06, 0.997767
1.58513e-06, 0.997826
1.58461e-06, 0.997884
1.58408e-06, 0.997941
1.58355e-06, 0.997996
1.58303e-06, 0.99805
1.5825e-06, 0.998103
1.58198e-06, 0.998154
1.58146e-06, 0.998204
1.58093e-06, 0.998252
1.58041e-06, 0.998299
1.57989e-06, 0.998345
1.57937e-06, 0.998389
1.57884e-06, 0.998432
1.57832e-06, 0.998473
1.5778e-06, 0.998513
1.57728e-06, 0.998552
1.57676e-06, 0.998589
1.57624e-06, 0.998625
1.57572e-06, 0.99866
1.5752e-06, 0.998693
1.57468e-06, 0.998725
1.57416e-06, 0.998755
1.57364e-06, 0.998784
1.57312e-06, 0.998812
1.5726e-06, 0.998838
1.57209e-06, 0.998863
1.57157e-06, 0.998887
1.57105e-06, 0.998909
1.57054e-06, 0.99893
1.57002e-06, 0.99895
1.5695e-06, 0.998969
1.56899e-06, 0.998986
1.56847e-06, 0.999001
1.56796e-06, 0.999016
1.56744e-06, 0.999029
1.56693e-06, 0.999041
1.56642e-06, 0.999051
1.5659e-06, 0.99906
1.56539e-06, 0.999068
1.56488e-06, 0.999075
1.56436e-06, 0.99908
1.56385e-06, 0.999084
1.56334e-06, 0.999087
1.56283e-06, 0.999089
1.56232e-06, 0.999089
1.56181e-06, 0.999088
1.56129e-06, 0.999086
1.56078e-06, 0.999082
1.56027e-06, 0.999077
1.55976e-06, 0.999071
1.55926e-06, 0.999064
1.55875e-06, 0.999056
1.55824e-06, 0.999046
1.55773e-06, 0.999035
1.55722e-06, 0.999023
1.55671e-06, 0.99901
1.55621e-06, 0.998995
1.5557e-06, 0.998979
1.55519e-06, 0.998962
1.55469e-06, 0.998944
1.55418e-06, 0.998925
1.55368e-06, 0.998904
1.55317e-06, 0.998883
1.55267e-06, 0.99886
1.55216e-06, 0.998836
1.55166e-06, 0.99881
1.55115e-06, 0.998784
1.55065e-06, 0.998756
1.55015e-06, 0.998728
1.54964e-06, 0.998698
1.54914e-06, 0.998667
1.54864e-06, 0.998635
1.54814e-06, 0.998601
1.54763e-06, 0.998567
1.54713e-06, 0.998531
1.54663e-06, 0.998495
1.54613e-06, 0.998457
1.54563e-06, 0.998418
1.54513e-06, 0.998378
1.54463e-06, 0.998337
1.54413e-06, 0.998294
1.54363e-06, 0.998251
1.54313e-06, 0.998207
1.54264e-06, 0.998161
1.54214e-06, 0.998114
